"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000186998",44.5754398994041,-0.269143736266982,0.298165073137676,-0.902666879908855,0.366702719414921,0.630687238510894
"ENSG00000100263",236.45336594505,0.235843701360197,0.138535096808797,1.70241120692833,0.0886783106617732,0.276680736324744
"ENSG00000182944",1729.62312866759,-0.460235561352568,0.0785744540644109,-5.85731796463127,4.70401974485991e-09,1.55178582387907e-07
"ENSG00000185340",860.739109856167,-0.0488735136938414,0.0767550515996603,-0.636746542087632,0.524289952067208,0.754241685430018
"ENSG00000100280",2864.72185224131,-0.0581974285117847,0.053492433072849,-1.08795628033087,0.276614408565272,0.542746700661815
"ENSG00000100296",2406.62886855321,-0.307418067853172,0.053277070050724,-5.77017594174165,7.91888093670023e-09,2.537325646225e-07
"ENSG00000184117",1897.43341207529,-0.00211234487931908,0.0571440695670299,-0.0369652510807145,0.970512712414062,0.989367468381185
"ENSG00000100319",119.191224287809,-0.0287145097166875,0.193190726472704,-0.148632961017125,0.881843262757858,0.954591119727547
"ENSG00000184076",657.163494369978,0.0652466883937737,0.0834551985556561,0.781816945175211,0.434322161030796,0.688133455450212
"ENSG00000100325",1069.47907411775,-0.135182550721091,0.070007177606044,-1.9309812985436,0.0534853651906236,0.19705134543914
"ENSG00000100330",1248.72198347974,-0.0429075224119842,0.0676873063842509,-0.633907961537197,0.526140889460308,0.755227955791482
"ENSG00000227201",84.5474229203285,-0.0820717599496257,0.211869294558918,-0.387369770218414,0.698482480104957,0.863473263021073
"ENSG00000128342",2386.4500538621,-0.048961338575136,0.0545336373902353,-0.897819051107398,0.369282026260079,0.633086727394353
"ENSG00000268812",77.1955942184862,0.111208494399419,0.245741125240195,0.452543278178288,0.650877650830847,0.835802620977418
"ENSG00000239282",24.0470835772871,0.151019209999415,0.401470747014164,0.376164916429357,0.706794295838489,0.866986042459106
"ENSG00000099992",269.203545284108,0.107329124319507,0.124713041634316,0.860608665405003,0.389453611738924,0.650736993789275
"ENSG00000099995",3052.98477851469,-0.0858096746435919,0.0539310556477569,-1.59109948086397,0.111587189352796,0.31929734141827
"ENSG00000187860",76.0639539040841,0.0971875745141582,0.23406046990689,0.415224213438603,0.677977774885196,0.851909760167059
"ENSG00000241528",24.0417695850028,-0.253123905682544,0.400804104982409,-0.631540202647508,0.527687371217453,0.75647490279425
"ENSG00000099999",269.230334190724,0.149125218613492,0.121486832613522,1.22750108308358,0.219634314982811,0.476065429933632
"ENSG00000100003",215.29736876854,-0.415740481478722,0.135704711022594,-3.0635670519169,0.00218715185059663,0.0172043385585302
"ENSG00000242114",90.137107567483,0.158239811259157,0.208031310348686,0.760653821744081,0.446863863431502,0.697567786766489
"ENSG00000133488",92.1013030383961,0.600869240290653,0.207395082705598,2.89722028339312,0.00376485300656616,0.0266042549778101
"ENSG00000214491",74.2227411187845,-0.205287035245968,0.21893461966553,-0.937663653010144,0.348417288378315,0.614170687331784
"ENSG00000225774",1554.9489742984,-0.381792988015142,0.0860158121633362,-4.43863725067377,9.05302466594712e-06,0.000154787460033087
"ENSG00000100029",2032.59387648297,-0.0920016379269843,0.057805951775693,-1.59155995361831,0.111483614225709,0.319046411651639
"ENSG00000185339",60.9326653990277,0.16434904501403,0.250991582420452,0.654799031222961,0.51259715446482,0.747623942788986
"ENSG00000100036",146.374488955866,0.236395650915571,0.164460779766809,1.43739833442818,0.150604841794751,0.379868332913565
"ENSG00000167065",93.6764533062715,-0.196860560457939,0.204643219779079,-0.961969620447031,0.336064864485114,0.602493586248968
"ENSG00000184792",369.265934526547,0.233077642884537,0.106677289314466,2.18488531516267,0.0288972564880025,0.127396507097645
"ENSG00000133422",1474.27707287948,-0.00221028190615511,0.0626504641195995,-0.0352795775293171,0.971856807962827,0.989740116184579
"ENSG00000253352",3568.35884113557,-0.125063467993942,0.062769574225199,-1.99242179889975,0.0463247975356497,0.178356685030893
"ENSG00000183963",248.617027928795,-0.40553991512132,0.130392105460348,-3.11015696609519,0.00186987947633126,0.0150755078404636
"ENSG00000273387",15.6972918280901,-0.295395126372071,0.501492588897609,-0.589031887831911,0.555839882759064,0.775850986217577
"ENSG00000185133",128.234190537379,0.195996821058947,0.174537179503699,1.12295169210519,0.261458011706839,0.52558449621677
"ENSG00000100078",29.8345185701817,2.25994160874423,0.404447262959488,5.58772877385155,2.3005858005516e-08,6.80427078480498e-07
"ENSG00000214125",311.661067624503,0.266140163964702,0.11448485361409,2.3246757589595,0.0200893044372921,0.0973454235757835
"ENSG00000138942",460.089170097531,0.15402482820619,0.0960545802655842,1.60351362506943,0.108821303453164,0.314374897547788
"ENSG00000182541",873.625840537058,-0.139226415126326,0.073219587183624,-1.9014913970652,0.0572376782747458,0.206868218683909
"ENSG00000100100",110.807448777096,-0.315303863002926,0.183730436515882,-1.71612210247849,0.086139696662188,0.270863438087863
"ENSG00000100105",1318.91405097337,0.0761099249207685,0.0651827999910291,1.16763816422804,0.242952749088131,0.505480605756064
"ENSG00000213888",48.3228897821374,-0.228654820513158,0.289504213770088,-0.789815172413159,0.429635716915297,0.684107280084673
"ENSG00000185721",389.826839258418,-0.216992982843769,0.120615049665108,-1.79905396089673,0.0720101453369714,0.241315065858174
"ENSG00000184708",597.095329155323,-0.0623957640127702,0.0866868530573099,-0.719783471335838,0.471658323194503,0.718012859966474
"ENSG00000198089",395.343762365701,-0.22624344291201,0.101220244664948,-2.23516000836499,0.0254068459284565,0.115688008105303
"ENSG00000241878",857.019717152076,-0.380534941345129,0.0779974443116263,-4.87881294962387,1.06726218521262e-06,2.31297705511559e-05
"ENSG00000183530",1796.95479762892,-0.0170887634009861,0.0612617998742316,-0.2789464794712,0.780285898172785,0.906122051469866
"ENSG00000100150",269.008400004089,-0.124790185688153,0.119306466828153,-1.04596329944041,0.295577977204393,0.561338245056426
"ENSG00000227813",117.467641251953,-0.0848865763794692,0.198475114368402,-0.427693802568649,0.66887406252356,0.846407879614887
"ENSG00000128245",3923.49291655565,-0.18819996931416,0.0479012764071128,-3.92891345346727,8.53305405620006e-05,0.00111389899927914
"ENSG00000232346",7823.94726590435,0.171387450899105,0.0509212068947679,3.36573819338746,0.000763391258427759,0.0071101207147954
"ENSG00000242082",15.5272236352343,0.87658835910318,0.503663049683734,1.74042618304761,0.0817842113061796,0.262090413964133
"ENSG00000214076",413.873094814687,0.0981174608595866,0.107386085893048,0.913688771162655,0.360880405933316,0.625708755950662
"ENSG00000100220",1118.48559671576,0.0257638125947098,0.068394933855609,0.376691827045271,0.706402637292995,0.866823172686065
"ENSG00000100225",1387.87362174013,0.0604961366882025,0.064302228327483,0.940809335255124,0.346802576076549,0.612668286438434
"ENSG00000100234",1144.65224089314,0.0915467074208773,0.088062231226432,1.03956833872953,0.298540492918467,0.564381152040276
"ENSG00000133424",472.565440250843,0.114215782478463,0.0971690980451092,1.17543318582045,0.239821453189362,0.501771817806112
"ENSG00000235485",550.877136026526,0.150686705814319,0.100167814749853,1.50434254945688,0.132493188597601,0.352101411847059
"ENSG00000233080",110.563269457404,0.144873674778799,0.195094465575943,0.742582186281473,0.457734676771638,0.707104164270835
"ENSG00000243453",74.2508764149906,0.00924444676168295,0.223603339506186,0.0413430621479032,0.967022403769444,0.988356817270401
"ENSG00000100281",881.42720065766,-0.0307781821408506,0.0739015680387341,-0.416475359828885,0.677062194107977,0.851438484809797
"ENSG00000100284",453.506575194592,-0.156501680954525,0.0986022995104433,-1.58720112747421,0.112467099506195,0.320718811792683
"ENSG00000100292",348.501940644304,0.491499259871526,0.129370815212147,3.79915098367083,0.000145192623751906,0.0017445692650573
"ENSG00000100297",2953.73170194252,-0.124464679093856,0.0540630360712831,-2.30221401050705,0.0213231062514045,0.101611614273787
"ENSG00000233388",194.585634452185,0.120900521159667,0.143765464557992,0.840956633996738,0.400372229211745,0.660294659478327
"ENSG00000100302",25.2649448314141,0.299977345896618,0.377993309098654,0.793604909599936,0.427425473389021,0.682210038959676
"ENSG00000198125",123.081100078601,0.594453768310661,0.181845603715982,3.26900269329093,0.00107927274211471,0.00955371694504934
"ENSG00000221963",1026.73548408763,0.104248340002802,0.0729731224408745,1.42858543688148,0.153123422329888,0.384243012066881
"ENSG00000100320",1814.01102761147,-0.0430848348022234,0.0609200316254572,-0.707235923105122,0.479419877951266,0.723577894075646
"ENSG00000237406",781.351528310351,0.041967004621834,0.0795813495711115,0.527347234597141,0.597952478476936,0.804558655991001
"ENSG00000128284",80.7813457782114,0.319240522478856,0.213558962119933,1.49485893408478,0.134951261688742,0.355750012770873
"ENSG00000128335",327.339324983929,0.039183320777436,0.112483360522551,0.348347707566758,0.727579069276521,0.8771767203778
"ENSG00000100342",262.300110656346,0.149503902450418,0.124606893939346,1.19980442272472,0.230215306115939,0.489604790625271
"ENSG00000100345",33528.461124155,-0.310193468340646,0.041836911821332,-7.41434907206711,1.22223608409931e-13,7.99828108454562e-12
"ENSG00000237668",259.07475634568,-0.0950277595339652,0.134345860049485,-0.707336716583322,0.479357253529181,0.723552954651124
"ENSG00000100348",771.556151210997,0.208656334929826,0.0775236808469637,2.69151738733517,0.00711277905714797,0.0442127881367892
"ENSG00000100350",1185.06956121435,0.369424206865446,0.0693039757849058,5.33049082222936,9.79476835489758e-08,2.56888898498554e-06
"ENSG00000100353",2321.92642390351,-0.0235213019666733,0.0556429966833391,-0.422718102343257,0.672500946463312,0.848865545014322
"ENSG00000188078",93.7724918595655,0.0868756864495682,0.201496016848683,0.431153368727923,0.666356857605667,0.845102955380017
"ENSG00000100360",140.35688889075,0.0104323120148171,0.165090502673698,0.0631914728337622,0.949614034903139,0.980860974869104
"ENSG00000128311",347.418644328149,0.27703594915914,0.112410268349243,2.46450749764628,0.0137201693023873,0.0729008731248243
"ENSG00000128309",792.601446873184,0.356162222042641,0.0821776293834504,4.33405325408873,1.46388737949302e-05,0.000236220863084456
"ENSG00000100379",332.090471131513,0.393152819332253,0.110342536168847,3.56302141479371,0.000366610759545331,0.00382807180835015
"ENSG00000133466",383.485806894963,-0.0464955633082768,0.113459287669462,-0.409799534822845,0.681953007488934,0.854279925736906
